degree,word,numerator,denominator
2,XY,-1,2
2,YX,1,2
3,XXY,1,6
3,XYX,-1,3
3,XYY,-1,3
3,YXX,1,6
3,YXY,2,3
3,YYX,-1,3
4,XXXY,-1,24
4,XXYX,1,8
4,XXYY,1,8
4,XYXX,-1,8
4,XYXY,-1,4
4,XYYY,-1,8
4,YXXX,1,24
4,YXYX,1,4
4,YXYY,3,8
4,YYXX,-1,8
4,YYXY,-3,8
4,YYYX,1,8
5,XXXXY,1,120
5,XXXYX,-1,30
5,XXXYY,-1,30
5,XXYXX,1,20
5,XXYXY,1,20
5,XXYYX,1,20
5,XXYYY,1,20
5,XYXXX,-1,30
5,XYXXY,1,20
5,XYXYX,-1,5
5,XYXYY,-1,5
5,XYYXX,1,20
5,XYYXY,3,10
5,XYYYX,-1,5
5,XYYYY,-1,30
5,YXXXX,1,120
5,YXXXY,-1,30
5,YXXYX,1,20
5,YXXYY,1,20
5,YXYXX,1,20
5,YXYXY,-1,5
5,YXYYX,3,10
5,YXYYY,2,15
5,YYXXX,-1,30
5,YYXXY,1,20
5,YYXYX,-1,5
5,YYXYY,-1,5
5,YYYXX,1,20
5,YYYXY,2,15
5,YYYYX,-1,30
6,XXXXXY,-1,720
6,XXXXYX,1,144
6,XXXXYY,1,144
6,XXXYXX,-1,72
6,XXXYXY,-1,72
6,XXXYYX,-1,72
6,XXXYYY,-1,72
6,XXYXXX,1,72
6,XXYXYX,1,24
6,XXYXYY,1,24
6,XXYYXY,-1,24
6,XXYYYX,1,24
6,XXYYYY,1,72
6,XYXXXX,-1,144
6,XYXYXX,-1,24
6,XYXYYX,-1,12
6,XYXYYY,-5,72
6,XYYXXX,1,72
6,XYYXYX,1,12
6,XYYXYY,1,8
6,XYYYXX,-1,24
6,XYYYXY,-1,12
6,XYYYYY,-1,144
6,YXXXXX,1,720
6,YXXYYY,1,72
6,YXYXXX,1,72
6,YXYXYY,-1,24
6,YXYYXX,1,24
6,YXYYYX,1,12
6,YXYYYY,5,144
6,YYXXXX,-1,144
6,YYXYXX,-1,24
6,YYXYXY,1,24
6,YYXYYX,-1,8
6,YYXYYY,-5,72
6,YYYXXX,1,72
6,YYYXXY,-1,72
6,YYYXYX,5,72
6,YYYXYY,5,72
6,YYYYXX,-1,72
6,YYYYXY,-5,144
6,YYYYYX,1,144
7,XXXXXXY,1,5040
7,XXXXXYX,-1,840
7,XXXXXYY,-1,840
7,XXXXYXX,1,336
7,XXXXYXY,1,336
7,XXXXYYX,1,336
7,XXXXYYY,1,336
7,XXXYXXX,-1,252
7,XXXYXXY,-1,252
7,XXXYXYX,-1,252
7,XXXYXYY,-1,252
7,XXXYYXX,-1,252
7,XXXYYXY,-1,252
7,XXXYYYX,-1,252
7,XXXYYYY,-1,252
7,XXYXXXX,1,336
7,XXYXXXY,5,504
7,XXYXXYX,-1,56
7,XXYXXYY,-1,56
7,XXYXYXX,1,42
7,XXYXYXY,5,112
7,XXYXYYX,1,336
7,XXYXYYY,1,42
7,XXYYXXX,-1,252
7,XXYYXXY,1,336
7,XXYYXYX,-13,336
7,XXYYXYY,-5,84
7,XXYYYXX,1,42
7,XXYYYXY,11,168
7,XXYYYYX,-1,56
7,XXYYYYY,1,336
7,XYXXXXX,-1,840
7,XYXXXXY,-11,1008
7,XYXXXYX,1,42
7,XYXXXYY,1,42
7,XYXXYXX,-1,56
7,XYXXYXY,-5,84
7,XYXXYYX,1,42
7,XYXXYYY,-1,56
7,XYXYXXX,-1,252
7,XYXYXXY,1,336
7,XYXYXYX,1,42
7,XYXYXYY,11,168
7,XYXYYXX,-13,336
7,XYXYYXY,-5,84
7,XYXYYYX,-1,56
7,XYXYYYY,-1,56
7,XYYXXXX,1,336
7,XYYXXXY,-11,1008
7,XYYXXYX,1,42
7,XYYXXYY,1,42
7,XYYXYXX,1,336
7,XYYXYXY,-17,168
7,XYYXYYX,3,28
7,XYYXYYY,1,42
7,XYYYXXX,-1,252
7,XYYYXXY,1,42
7,XYYYXYX,-1,56
7,XYYYXYY,1,42
7,XYYYYXX,-1,56
7,XYYYYXY,-5,84
7,XYYYYYX,1,42
7,XYYYYYY,-1,840
7,YXXXXXX,1,5040
7,YXXXXXY,11,2520
7,YXXXXYX,-11,1008
7,YXXXXYY,-11,1008
7,YXXXYXX,5,504
7,YXXXYXY,31,1008
7,YXXXYYX,-11,1008
7,YXXXYYY,5,504
7,YXXYXXX,-1,252
7,YXXYXXY,-1,56
7,YXXYXYX,1,336
7,YXXYXYY,-1,56
7,YXXYYXX,1,336
7,YXXYYXY,-1,56
7,YXXYYYX,1,42
7,YXXYYYY,1,336
7,YXYXXXX,1,336
7,YXYXXXY,31,1008
7,YXYXXYX,-5,84
7,YXYXXYY,-5,84
7,YXYXYXX,5,112
7,YXYXYXY,4,21
7,YXYXYYX,-17,168
7,YXYXYYY,1,42
7,YXYYXXX,-1,252
7,YXYYXXY,-1,56
7,YXYYXYX,-5,84
7,YXYYXYY,-1,7
7,YXYYYXX,11,168
7,YXYYYXY,4,21
7,YXYYYYX,-5,84
7,YXYYYYY,1,140
7,YYXXXXX,-1,840
7,YYXXXXY,-11,1008
7,YYXXXYX,1,42
7,YYXXXYY,1,42
7,YYXXYXX,-1,56
7,YYXXYXY,-5,84
7,YYXXYYX,1,42
7,YYXXYYY,-1,56
7,YYXYXXX,-1,252
7,YYXYXXY,-1,56
7,YYXYXYX,11,168
7,YYXYXYY,3,28
7,YYXYYXX,-5,84
7,YYXYYXY,-1,7
7,YYXYYYX,1,42
7,YYXYYYY,-1,56
7,YYYXXXX,1,336
7,YYYXXXY,5,504
7,YYYXXYX,-1,56
7,YYYXXYY,-1,56
7,YYYXYXX,1,42
7,YYYXYXY,1,42
7,YYYXYYX,1,42
7,YYYXYYY,1,42
7,YYYYXXX,-1,252
7,YYYYXXY,1,336
7,YYYYXYX,-1,56
7,YYYYXYY,-1,56
7,YYYYYXX,1,336
7,YYYYYXY,1,140
7,YYYYYYX,-1,840
8,XXXXXXXY,-1,40320
8,XXXXXXYX,1,5760
8,XXXXXXYY,1,5760
8,XXXXXYXX,-1,1920
8,XXXXXYXY,-1,1920
8,XXXXXYYX,-1,1920
8,XXXXXYYY,-1,1920
8,XXXXYXXX,1,1152
8,XXXXYXXY,1,1152
8,XXXXYXYX,1,1152
8,XXXXYXYY,1,1152
8,XXXXYYXX,1,1152
8,XXXXYYXY,1,1152
8,XXXXYYYX,1,1152
8,XXXXYYYY,1,1152
8,XXXYXXXX,-1,1152
8,XXXYXXXY,-1,576
8,XXXYXXYX,1,576
8,XXXYXXYY,1,576
8,XXXYXYXX,-1,288
8,XXXYXYXY,-7,1152
8,XXXYXYYX,-1,1152
8,XXXYXYYY,-1,288
8,XXXYYXXY,-1,1152
8,XXXYYXYX,5,1152
8,XXXYYXYY,1,144
8,XXXYYYXX,-1,288
8,XXXYYYXY,-5,576
8,XXXYYYYX,1,576
8,XXXYYYYY,-1,1152
8,XXYXXXXX,1,1920
8,XXYXXXXY,1,576
8,XXYXXXYX,-1,576
