n,numerator_Bn_over_nfactorial,denominator_Bn_over_nfactorial
0,1,1
1,1,2
2,1,12
3,0,1
4,-1,720
5,0,1
6,1,30240
7,0,1
8,-1,1209600
9,0,1
10,1,47900160
11,0,1
12,-691,1307674368000
