degree	word	coefficient
10	XYXYXXXXXY	1/25200
10	XYXYXXXXYY	-1/20160
10	XYXYXXXYXY	1/5040
10	XYXYXXXYYY	1/15120
10	XYXYXXYXXY	-1/10080
10	XYXYXXYXYY	-1/10080
10	XYXYXXYYXY	-1/10080
10	XYXYXXYYYY	-1/20160
10	XYXYXYXXXY	1/5040
10	XYXYXYXXYY	-1/10080
10	XYXYXYXYXY	1/1260
10	XYXYXYXYYY	1/5040
10	XYXYXYYXXY	-1/10080
10	XYXYXYYXYY	-1/10080
10	XYXYXYYYXY	1/5040
10	XYXYXYYYYY	1/25200
10	XYXYYXXXXY	-1/20160
10	XYXYYXXYXY	-1/10080
10	XYXYYXYXXY	-1/10080
10	XYXYYXYXYY	-1/10080
10	XYXYYXYYXY	-1/10080
10	XYXYYXYYYY	-1/20160
10	XYXYYYXXXY	1/15120
10	XYXYYYXYXY	1/5040
10	XYXYYYXYYY	1/15120
10	XYXYYYYXXY	-1/20160
10	XYXYYYYXYY	-1/20160
10	XYXYYYYYXY	1/25200
10	XYXYYYYYYY	1/302400
10	XYYXXXXXXY	-1/86400
10	XYYXXXXXYY	1/67200
10	XYYXXXXYXY	-1/20160
10	XYYXXXXYYY	-1/120960
10	XYYXXXYYYY	-1/120960
10	XYYXXYXXYY	1/20160
10	XYYXXYXYXY	-1/10080
10	XYYXXYYXXY	1/20160
10	XYYXXYYXYY	1/20160
10	XYYXXYYYYY	1/67200
10	XYYXYXXXXY	-1/20160
10	XYYXYXXYXY	-1/10080
10	XYYXYXYXXY	-1/10080
10	XYYXYXYXYY	-1/10080
10	XYYXYXYYXY	-1/10080
10	XYYXYXYYYY	-1/20160
10	XYYXYYXXYY	1/20160
10	XYYXYYXYXY	-1/10080
10	XYYXYYYYXY	-1/20160
10	XYYXYYYYYY	-1/86400
10	XYYYXXXXXY	1/43200
10	XYYYXXXXYY	-1/120960
10	XYYYXXXYXY	1/15120
10	XYYYXXXYYY	1/90720
10	XYYYXXYYYY	-1/120960
10	XYYYXYXXXY	1/15120
10	XYYYXYXYXY	1/5040
10	XYYYXYXYYY	1/15120
10	XYYYXYYYXY	1/15120
10	XYYYXYYYYY	1/43200
10	XYYYYXXXXY	-1/34560
10	XYYYYXXXYY	-1/120960
10	XYYYYXXYXY	-1/20160
10	XYYYYXXYYY	-1/120960
10	XYYYYXYXXY	-1/20160
10	XYYYYXYXYY	-1/20160
10	XYYYYXYYXY	-1/20160
10	XYYYYXYYYY	-1/34560
10	XYYYYYXXXY	1/43200
10	XYYYYYXXYY	1/67200
10	XYYYYYXYXY	1/25200
10	XYYYYYXYYY	1/43200
10	XYYYYYYXXY	-1/86400
10	XYYYYYYXYY	-1/86400
10	XYYYYYYYXY	1/302400
10	YXXXXXXXYX	-1/302400
10	YXXXXXXYXX	1/86400
10	YXXXXXXYYX	1/86400
10	YXXXXXYXXX	-1/43200
10	YXXXXXYXYX	-1/25200
10	YXXXXXYYXX	-1/67200
10	YXXXXXYYYX	-1/43200
10	YXXXXYXXXX	1/34560
10	YXXXXYXXYX	1/20160
10	YXXXXYXYXX	1/20160
10	YXXXXYXYYX	1/20160
10	YXXXXYYXXX	1/120960
10	YXXXXYYXYX	1/20160
10	YXXXXYYYXX	1/120960
10	YXXXXYYYYX	1/34560
10	YXXXYXXXXX	-1/43200
10	YXXXYXXXYX	-1/15120
10	YXXXYXYXXX	-1/15120
10	YXXXYXYXYX	-1/5040
10	YXXXYXYYYX	-1/15120
10	YXXXYYXXXX	1/120960
10	YXXXYYYXXX	-1/90720
10	YXXXYYYXYX	-1/15120
10	YXXXYYYYXX	1/120960
10	YXXXYYYYYX	-1/43200
10	YXXYXXXXXX	1/86400
10	YXXYXXXXYX	1/20160
10	YXXYXXYXYX	1/10080
10	YXXYXXYYXX	-1/20160
10	YXXYXYXXXX	1/20160
10	YXXYXYXXYX	1/10080
10	YXXYXYXYXX	1/10080
10	YXXYXYXYYX	1/10080
10	YXXYXYYXYX	1/10080
10	YXXYXYYYYX	1/20160
10	YXXYYXXXXX	-1/67200
10	YXXYYXXYXX	-1/20160
10	YXXYYXXYYX	-1/20160
10	YXXYYXYXYX	1/10080
10	YXXYYXYYXX	-1/20160
10	YXXYYYXXXX	1/120960
10	YXXYYYYXXX	1/120960
10	YXXYYYYXYX	1/20160
10	YXXYYYYYXX	-1/67200
10	YXXYYYYYYX	1/86400
10	YXYXXXXXXX	-1/302400
10	YXYXXXXXYX	-1/25200
10	YXYXXXXYXX	1/20160
10	YXYXXXXYYX	1/20160
10	YXYXXXYXXX	-1/15120
10	YXYXXXYXYX	-1/5040
10	YXYXXXYYYX	-1/15120
10	YXYXXYXXXX	1/20160
10	YXYXXYXXYX	1/10080
10	YXYXXYXYXX	1/10080
10	YXYXXYXYYX	1/10080
10	YXYXXYYXYX	1/10080
10	YXYXXYYYYX	1/20160
10	YXYXYXXXXX	-1/25200
10	YXYXYXXXYX	-1/5040
10	YXYXYXXYXX	1/10080
10	YXYXYXXYYX	1/10080
10	YXYXYXYXXX	-1/5040
10	YXYXYXYXYX	-1/1260
10	YXYXYXYYXX	1/10080
10	YXYXYXYYYX	-1/5040
10	YXYXYYXXXX	1/20160
10	YXYXYYXXYX	1/10080
10	YXYXYYXYXX	1/10080
10	YXYXYYXYYX	1/10080
10	YXYXYYYXXX	-1/15120
10	YXYXYYYXYX	-1/5040
10	YXYXYYYYXX	1/20160
10	YXYXYYYYYX	-1/25200
10	YXYYXXXXXX	1/86400
10	YXYYXXXXYX	1/20160
10	YXYYXXYXYX	1/10080
10	YXYYXXYYXX	-1/20160
10	YXYYXYXXXX	1/20160
10	YXYYXYXXYX	1/10080
10	YXYYXYXYXX	1/10080
10	YXYYXYXYYX	1/10080
10	YXYYXYYXYX	1/10080
10	YXYYXYYYYX	1/20160
10	YXYYYXXXXX	-1/43200
10	YXYYYXXXYX	-1/15120
10	YXYYYXYXXX	-1/15120
10	YXYYYXYXYX	-1/5040
10	YXYYYXYYYX	-1/15120
10	YXYYYYXXXX	1/34560
10	YXYYYYXXYX	1/20160
10	YXYYYYXYXX	1/20160
10	YXYYYYXYYX	1/20160
10	YXYYYYYXXX	-1/43200
10	YXYYYYYXYX	-1/25200
10	YXYYYYYYXX	1/86400
10	YXYYYYYYYX	-1/302400
10	YYXXXXXXXX	1/2419200
10	YYXXXXXXYX	1/86400
10	YYXXXXXYXX	-1/67200
10	YYXXXXXYYX	-1/67200
10	YYXXXXYXXX	1/120960
10	YYXXXXYXYX	1/20160
10	YYXXXXYYXX	-1/80640
10	YYXXXXYYYX	1/120960
10	YYXXXYXXXX	1/120960
10	YYXXXYYXXX	1/60480
10	YYXXXYYYXX	1/60480
10	YYXXXYYYYX	1/120960
10	YYXXYXXXXX	-1/67200
10	YYXXYXXYXX	-1/20160
10	YYXXYXXYYX	-1/20160
10	YYXXYXYXYX	1/10080
10	YYXXYXYYXX	-1/20160
10	YYXXYYXXXX	-1/80640
10	YYXXYYXXYX	-1/20160
10	YYXXYYXYXX	-1/20160
10	YYXXYYXYYX	-1/20160
10	YYXXYYYXXX	1/60480
10	YYXXYYYYXX	-1/80640
10	YYXXYYYYYX	-1/67200
10	YYXYXXXXXX	1/86400
10	YYXYXXXXYX	1/20160
10	YYXYXXYXYX	1/10080
10	YYXYXXYYXX	-1/20160
10	YYXYXYXXXX	1/20160
10	YYXYXYXXYX	1/10080
10	YYXYXYXYXX	1/10080
10	YYXYXYXYYX	1/10080
10	YYXYXYYXYX	1/10080
10	YYXYXYYYYX	1/20160
10	YYXYYXXXXX	-1/67200
10	YYXYYXXYXX	-1/20160
10	YYXYYXXYYX	-1/20160
10	YYXYYXYXYX	1/10080
10	YYXYYXYYXX	-1/20160
10	YYXYYYXXXX	1/120960
10	YYXYYYYXXX	1/120960
10	YYXYYYYXYX	1/20160
10	YYXYYYYYXX	-1/67200
10	YYXYYYYYYX	1/86400
10	YYYXXXXXXX	-1/302400
10	YYYXXXXXYX	-1/43200
10	YYYXXXXYXX	1/120960
10	YYYXXXXYYX	1/120960
10	YYYXXXYXXX	-1/90720
10	YYYXXXYXYX	-1/15120
10	YYYXXXYYXX	1/60480
10	YYYXXXYYYX	-1/90720
10	YYYXXYXXXX	1/120960
10	YYYXXYYXXX	1/60480
10	YYYXXYYYXX	1/60480
10	YYYXXYYYYX	1/120960
10	YYYXYXXXXX	-1/43200
10	YYYXYXXXYX	-1/15120
10	YYYXYXYXXX	-1/15120
10	YYYXYXYXYX	-1/5040
10	YYYXYXYYYX	-1/15120
10	YYYXYYXXXX	1/120960
10	YYYXYYYXXX	-1/90720
10	YYYXYYYXYX	-1/15120
10	YYYXYYYYXX	1/120960
10	YYYXYYYYYX	-1/43200
10	YYYYXXXXXX	37/3628800
10	YYYYXXXXYX	1/34560
10	YYYYXXXYXX	1/120960
10	YYYYXXXYYX	1/120960
10	YYYYXXYXXX	1/120960
10	YYYYXXYXYX	1/20160
10	YYYYXXYYXX	-1/80640
10	YYYYXXYYYX	1/120960
10	YYYYXYXXXX	1/34560
10	YYYYXYXXYX	1/20160
10	YYYYXYXYXX	1/20160
10	YYYYXYXYYX	1/20160
10	YYYYXYYXXX	1/120960
10	YYYYXYYXYX	1/20160
10	YYYYXYYYXX	1/120960
10	YYYYXYYYYX	1/34560
10	YYYYYXXXXX	-1/67200
10	YYYYYXXXYX	-1/43200
10	YYYYYXXYXX	-1/67200
10	YYYYYXXYYX	-1/67200
10	YYYYYXYXXX	-1/43200
10	YYYYYXYXYX	-1/25200
10	YYYYYXYYXX	-1/67200
10	YYYYYXYYYX	-1/43200
10	YYYYYYXXXX	37/3628800
10	YYYYYYXXYX	1/86400
10	YYYYYYXYXX	1/86400
10	YYYYYYXYYX	1/86400
10	YYYYYYYXXX	-1/302400
10	YYYYYYYXYX	-1/302400
10	YYYYYYYYXX	1/2419200
