degree	word	coefficient
8	XXYXYYYY	1/4032
8	XXYYXXXY	-1/10080
8	XXYYXXYY	-1/2240
8	XXYYXYXY	1/1680
8	XXYYXYYY	-1/10080
8	XXYYYXXY	-1/10080
8	XXYYYXYY	-1/10080
8	XXYYYYXY	1/4032
8	XXYYYYYY	1/60480
8	XYXXXXXY	-1/10080
8	XYXXXXYY	1/4032
8	XYXXXYXY	-1/1260
8	XYXXXYYY	-1/3024
8	XYXXYXXY	1/1680
8	XYXXYXYY	1/1680
8	XYXXYYXY	1/1680
8	XYXXYYYY	1/4032
8	XYXYXXXY	-1/1260
8	XYXYXXYY	1/1680
8	XYXYXYXY	-1/280
8	XYXYXYYY	-1/1260
8	XYXYYXXY	1/1680
8	XYXYYXYY	1/1680
8	XYXYYYXY	-1/1260
8	XYXYYYYY	-1/10080
8	XYYXXXXY	1/4032
8	XYYXXXYY	-1/10080
8	XYYXXYXY	1/1680
8	XYYXXYYY	-1/10080
8	XYYXYXXY	1/1680
8	XYYXYXYY	1/1680
8	XYYXYYXY	1/1680
8	XYYXYYYY	1/4032
8	XYYYXXXY	-1/3024
8	XYYYXXYY	-1/10080
8	XYYYXYXY	-1/1260
8	XYYYXYYY	-1/3024
8	XYYYYXXY	1/4032
8	XYYYYXYY	1/4032
8	XYYYYYXY	-1/10080
8	YXXXXXYX	1/10080
8	YXXXXYXX	-1/4032
8	YXXXXYYX	-1/4032
8	YXXXYXXX	1/3024
8	YXXXYXYX	1/1260
8	YXXXYYXX	1/10080
8	YXXXYYYX	1/3024
8	YXXYXXXX	-1/4032
8	YXXYXXYX	-1/1680
8	YXXYXYXX	-1/1680
8	YXXYXYYX	-1/1680
8	YXXYYXXX	1/10080
8	YXXYYXYX	-1/1680
8	YXXYYYXX	1/10080
8	YXXYYYYX	-1/4032
8	YXYXXXXX	1/10080
8	YXYXXXYX	1/1260
8	YXYXXYXX	-1/1680
8	YXYXXYYX	-1/1680
8	YXYXYXXX	1/1260
8	YXYXYXYX	1/280
8	YXYXYYXX	-1/1680
8	YXYXYYYX	1/1260
8	YXYYXXXX	-1/4032
8	YXYYXXYX	-1/1680
8	YXYYXYXX	-1/1680
8	YXYYXYYX	-1/1680
8	YXYYYXXX	1/3024
8	YXYYYXYX	1/1260
8	YXYYYYXX	-1/4032
8	YXYYYYYX	1/10080
8	YYXXXXXX	-1/60480
8	YYXXXXYX	-1/4032
8	YYXXXYXX	1/10080
8	YYXXXYYX	1/10080
8	YYXXYXXX	1/10080
8	YYXXYXYX	-1/1680
8	YYXXYYXX	1/2240
8	YYXXYYYX	1/10080
8	YYXYXXXX	-1/4032
8	YYXYXXYX	-1/1680
8	YYXYXYXX	-1/1680
8	YYXYXYYX	-1/1680
8	YYXYYXXX	1/10080
8	YYXYYXYX	-1/1680
8	YYXYYYXX	1/10080
8	YYXYYYYX	-1/4032
8	YYYXXXXX	1/10080
8	YYYXXXYX	1/3024
8	YYYXXYXX	1/10080
8	YYYXXYYX	1/10080
8	YYYXYXXX	1/3024
8	YYYXYXYX	1/1260
8	YYYXYYXX	1/10080
8	YYYXYYYX	1/3024
8	YYYYXXXX	-23/120960
8	YYYYXXYX	-1/4032
8	YYYYXYXX	-1/4032
8	YYYYXYYX	-1/4032
8	YYYYYXXX	1/10080
8	YYYYYXYX	1/10080
8	YYYYYYXX	-1/60480
9	XXXXXXXXY	-1/1209600
9	XXXXXXXYX	1/151200
9	XXXXXXXYY	1/151200
9	XXXXXXYXX	-1/43200
9	XXXXXXYXY	-1/43200
9	XXXXXXYYX	-1/43200
9	XXXXXXYYY	-1/56700
9	XXXXXYXXX	1/21600
9	XXXXXYXXY	1/33600
9	XXXXXYXYX	1/12600
9	XXXXXYXYY	1/33600
9	XXXXXYYXX	1/33600
9	XXXXXYYXY	1/33600
9	XXXXXYYYX	1/21600
9	XXXXXYYYY	1/75600
9	XXXXYXXXX	-1/17280
9	XXXXYXXXY	-1/60480
9	XXXXYXXYX	-1/10080
9	XXXXYXXYY	1/40320
9	XXXXYXYXX	-1/10080
9	XXXXYXYXY	-1/10080
9	XXXXYXYYX	-1/10080
9	XXXXYXYYY	-1/60480
9	XXXXYYXXX	-1/60480
9	XXXXYYXXY	1/40320
9	XXXXYYXYX	-1/10080
9	XXXXYYXYY	1/40320
9	XXXXYYYXX	-1/60480
9	XXXXYYYXY	-1/60480
9	XXXXYYYYX	-1/17280
9	XXXXYYYYY	1/75600
9	XXXYXXXXX	1/21600
9	XXXYXXXXY	-1/60480
9	XXXYXXXYX	1/7560
9	XXXYXXXYY	-1/30240
9	XXXYXXYYY	-1/30240
9	XXXYXYXXX	1/7560
9	XXXYXYXYX	1/2520
9	XXXYXYYYX	1/7560
9	XXXYXYYYY	-1/60480
9	XXXYYXXXX	-1/60480
9	XXXYYXXXY	-1/30240
9	XXXYYXXYY	-1/20160
9	XXXYYXYYY	-1/30240
9	XXXYYYXXX	1/45360
9	XXXYYYXXY	-1/30240
9	XXXYYYXYX	1/7560
9	XXXYYYXYY	-1/30240
9	XXXYYYYXX	-1/60480
9	XXXYYYYXY	-1/60480
9	XXXYYYYYX	1/21600
9	XXXYYYYYY	-1/56700
9	XXYXXXXXX	-1/43200
9	XXYXXXXXY	1/33600
9	XXYXXXXYX	-1/10080
9	XXYXXXXYY	1/40320
9	XXYXXXYYY	-1/30240
9	XXYXXYXXY	1/10080
9	XXYXXYXYX	-1/5040
9	XXYXXYXYY	1/10080
9	XXYXXYYXX	1/10080
9	XXYXXYYXY	1/10080
9	XXYXXYYYY	1/40320
9	XXYXYXXXX	-1/10080
9	XXYXYXXYX	-1/5040
9	XXYXYXXYY	1/10080
9	XXYXYXYXX	-1/5040
9	XXYXYXYXY	-1/5040
9	XXYXYXYYX	-1/5040
9	XXYXYYXXY	1/10080
9	XXYXYYXYX	-1/5040
9	XXYXYYXYY	1/10080
9	XXYXYYYYX	-1/10080
9	XXYXYYYYY	1/33600
9	XXYYXXXXX	1/33600
9	XXYYXXXXY	1/40320
9	XXYYXXXYY	-1/20160
9	XXYYXXYXX	1/10080
9	XXYYXXYXY	1/10080
9	XXYYXXYYX	1/10080
